cap,depth,accuracy,cap_hit_percent,degenerate_repetitive,coherent_but_unfinished,stop_string_evaluator_issue,other_capped,natural_end_percent,mean_ttft_seconds,mean_single_forward_seconds,examples
256,4,0.05,35.0,7,0,0,0,65.0,0.1121538057923317,0.05454777739942074,20
256,8,0.05,30.0,4,1,1,0,70.0,0.1343930747359991,0.09560546297580004,20
256,16,0.3,20.0,2,2,0,0,80.0,0.21283172033727168,0.17847806662321092,20
256,32,0.3,40.0,5,3,0,0,60.0,0.3921933563426137,0.3431633707135916,20
256,64,0.3,50.0,8,2,0,0,50.0,0.7289641916751861,0.6734759772196413,20
512,4,0.0,40.0,8,0,0,0,60.0,0.11487873755395413,0.054963305592536926,20
512,8,0.1,0.0,0,0,0,0,100.0,0.1318638941273093,0.09607116710394621,20
512,16,0.4,10.0,2,0,0,0,90.0,0.21675237268209457,0.17849511615931987,20
512,32,0.35,0.0,0,0,0,0,100.0,0.39088399317115546,0.343509017303586,20
512,64,0.35,0.0,0,0,0,0,100.0,0.730259419977665,0.674025789834559,20
1024,4,0.0,45.0,8,1,0,0,55.0,0.11626644376665354,0.054804192297160624,20
1024,8,0.1,5.0,1,0,0,0,95.0,0.15434384010732174,0.09599505122750998,20
1024,16,0.25,0.0,0,0,0,0,100.0,0.2111901229247451,0.17754321414977312,20
1024,32,0.35,0.0,0,0,0,0,100.0,0.3880049426108599,0.34391845129430293,20
1024,64,0.35,0.0,0,0,0,0,100.0,0.7301387835294009,0.6726668504998088,20
